"","Programme","Priority axes name","Registration number of the operation","Operation name","Operation summary","Beneficiary name","Identification number of the beneficiary","Legal status of the beneficiary","Postcode","...10","Operation start date","Expected end date of the operation","Operation end date","...14","Status of the operation","Country","NUTS 3 code","NUTS 3 name","Intervention field - code","Intervention field - name","Fund","Union co-financing rate","Total eligible expenditure allocated to the selected operation","Expeditures allocated to the selected operation - Union support","Expeditures allocated to the selected operation - national public funding","Expeditures allocated to the selected operation - national private funding","Total eligible expenditures charged in payment applications","Expenditures charged in payment application - Union support","...29"
"220","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.11/0.0/0.0/16_098/0002660","Oprava a modernizace bytového domu Budovatelská 1194-1195, Prachatice","Komplexní oprava a zateplení obvodového pláště a opravy navazujících konstrukcí, s cílem dosažení energetických úspor, zlepšení kvality bydlení a prodloužení životnosti bytového domu.","Město Prachatice","00250627","Obec",38301,2017-04-10,"12.07.2016","30.09.2018","24.09.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ031","Jihočeský kraj","II.1.014","Energeticky účinná renovace stávajícího bytového a domovního fondu, demonstrační projekty a podpůrná opatření","EFRR",0.3,6288790,1886637,4402153,0,5057674.15,1517302.24,"Ne"
"221","OP ZP","05.3 Odpady a materiálové toky, ekologické zátěže a rizika","CZ.05.3.29/0.0/0.0/16_041/0003104","Rozšíření systému odděleného sběru odpadů v Táboře","Projekt řeší rozšíření systému odděleného sběru odpadů v Táboře, má 2 částí: 1) separace využitel. složek odpadů (nákup separ. nádob, stavba podzem. kontejnerů - p.č. 5773, 2297/1, 5836 k.ú. Tá), 2) sběr BRO z domácností (nákup biopopelnic). Cíl: zvýšit podíl materiál. využití odpadů, zvýšit účinnost třídění, zahustit síť nádob, naplnit cíle POH města, JčK, ČR. Předpoklady: analýza stavu, projekt. dokumentace, staveb. povolení, finance, zájemci; rizika: nekvalitní dodavatelé, staveb. překážky.","Město Tábor","00253014","Obec",39001,2017-09-14,"23.02.2018","29.02.2020","25.02.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ031","Jihočeský kraj","II.2.017","Nakládání s odpady v domácnostech (včetně opatření týkajících se minimalizace, třídění a recyklace)","FS",0.849999999910889,5610981.53,4769334.3,841647.23,0,5610981.13,4769333.96,"Ne"
"222","OP Z","03.2 Sociální začleňování a boj s chudobou","CZ.03.2.63/0.0/0.0/16_128/0006208","Podpora sociální práce v působnosti obecního úřadu obce s rozšířenou působností Hradec Králové","Předmětem projektu je zvýšení dostupnosti sociální práce pro klienty, zvýšení odbornosti sociálních pracovníků a profesionalizace používaných metod sociální práce v rámci výkonu sociální práce v přenesené působnosti.","Statutární město Hradec Králové","00268810","Obec",50003,2017-03-20,"01.04.2017","31.05.2019","31.05.2019",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ052","Královéhradecký kraj","VI.0.112","Zlepšování přístupu k dostupným, udržitelným a vysoce kvalitním službám, včetně zdravotnictví a sociálních služeb obecného zájmu","ESF",0.849999998559085,3470017.5,2949514.87,520502.63,0,3470017.48,2949514.84,"Ano"
"223","OP VVV","02.3 Rovný přístup ke kvalitnímu předškolnímu, primárnímu a sekundárnímu vzdělávání","CZ.02.3.68/0.0/0.0/15_005/0000030","Místní akční plán rozvoje vzdělávání Novojičínska","Projekt řeší zpracování Místního akčního plánu pro oblast předškolního a základního školství v lokalitě působnosti ORP Nový Jičín, čítající celkem 48 669 obyvatel, z nichž je 7 247 dětí a žáků do 15 let, kterých se výstupy projektu bezprostředně týkají. Na území MAP se nachází celkem  32 škola a zařízení, 31 škol se zapojí do tvorby MAP. Úkolem projektu, který bude realizován 24 měsíců, je vznik funkčního systému spolupráce pro vytvoření MAP v definovaném území a zpracování MAP do r. 2023.","Město Nový Jičín","00298212","Obec",74101,2016-08-23,"01.01.2016","31.12.2017","31.12.2017",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ080","Moravskoslezský kraj","VII.0.115","Omezování a prevence předčasného ukončování školní docházky a podpora rovného přístupu ke kvalitním programům předškolního, základního a středoškolského vzdělávání, včetně možností formálního, neformálního a informálního učení, které umožňuje zpětné začlenění do procesu vzdělávání a odborné přípravy","ESF",0.85,2366957.6,2011913.96,236695.76,118347.88,2054050.97,1745943.32,"Ne"
"224","OP VVV","02.3 Rovný přístup ke kvalitnímu předškolnímu, primárnímu a sekundárnímu vzdělávání","CZ.02.3.68/0.0/0.0/15_005/0000090","MAP - ORP Orlová","Cílem projektu je podporovat společné plánování a sdílení aktivit v území ORP Orlová, které přispějí k rozvoji vzdělávací soustavy a zlepší kvalitu vzdělávání ve zdejších školách. V rámci vytvořeného partnerství organizací formálního i neformálního vzdělávání budeme společně hledat řešení místně specifických problémů a potřeb ve vzdělávání za účelem rozvoje potenciálu každého žáka. Výstupem projektu je zpracovaný místní akční plán v úrovni MAP. Nositelem místního akčního plánu je město Orlová.","Město Orlová","00297577","Obec",73514,2016-07-19,"01.01.2016","31.12.2017","31.12.2017",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ080","Moravskoslezský kraj","VII.0.115","Omezování a prevence předčasného ukončování školní docházky a podpora rovného přístupu ke kvalitním programům předškolního, základního a středoškolského vzdělávání, včetně možností formálního, neformálního a informálního učení, které umožňuje zpětné začlenění do procesu vzdělávání a odborné přípravy","ESF",0.85,3019766.4,2566801.44,301976.64,150988.32,3005973.05,2555077.08,"Ne"
"225","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.56/0.0/0.0/16_052/0002411","Komunitní centrum Kostelec nad Orlicí","Projekt řeší realizaci Komunitního centra v Kostelci nad Orl. , jehož realizací se očekává zlepšení celkové sociální situace ve městě. Všechny aktivity provozované v komunitním centru budou sloužit k setkávání, poznání a synergii obyvatel města (komunity) a ke zlepšování sociálního statutu osob z cílových skupin a ve svém důsledku povedou k sociální inkluzi a tedy k naplňování specifického cíle IROP 2.1. Žadatel si je vědom potencionálních rizik a definoval patřičná opatření k jejich eliminaci.","Město Kostelec nad Orlicí","00274968","Obec",51741,2017-07-10,"01.08.2016","31.03.2019","31.03.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ052","Královéhradecký kraj","III.0.055","Jiná sociální infrastruktura přispívající k regionálnímu a místnímu rozvoji","EFRR",0.849999999899727,19945532.12,16953702.3,2991829.82,0,19927532.12,16938402.29,"Ne"
"226","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/16_039/0004507","Využití odpadního tepla na Městském zimním stadionu v Lounech","Předmětem projektu je využití odpadního tepla v rámci rekonstrukce technologické části chladicího zařízení ledové plochy Městského zimního stadionu v Lounech. Realizací projektu bude dosaženo maximální energetické úspory chladícího zařízení. Odpadní teplo bude využito pro rozpouštění ledové tříště ve sněhové jámě a pro ohřev vody pro rolbu na úpravu ledové plochy.","Město Louny","00265209","Obec",44001,2017-05-10,NA,"31.08.2017","04.06.2018",NA,"PN40b Projekt nedokončen - ukončen ŘO","Česká republika","CZ042","Ústecký kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0,0,0,NA,0,0,0,"Ne"
"227","OP Z","03.2 Sociální začleňování a boj s chudobou","CZ.03.2.63/0.0/0.0/16_128/0006202","Pilotní ověření sociálního bydlení v J. Hradci","Cílem projektu je příprava a pilotní ověření Lokální koncepce sociálního bydlení v J. Hradci. Za tímto účelem budou zpracovány potřebné analýzy a další podklady. Lokální koncepce pak bude vycházet z těchto podkladů a z informací získaných úzkou spoluprací s MPSV a dalšími městy zapojenými do výzvy. Koncepce a její dílčí metodiky budou v praxi ověřeny na území města. Součástí projektu bude i evaluace, vzdělávání pracovníků a lokální informační kampaň.","Město Jindřichův Hradec","00246875","Obec",37701,2017-04-06,"01.03.2017","28.02.2020","28.02.2020",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ031","Jihočeský kraj","VI.0.112","Zlepšování přístupu k dostupným, udržitelným a vysoce kvalitním službám, včetně zdravotnictví a sociálních služeb obecného zájmu","ESF",0.849999998630949,5478248.75,4656511.43,821737.32,0,5291755.82,4497992.43,"Ano"
"228","OP VVV","02.3 Rovný přístup ke kvalitnímu předškolnímu, primárnímu a sekundárnímu vzdělávání","CZ.02.3.68/0.0/0.0/15_005/0000117","MAP ORP Ostrava","Místní akční plán rozvoje vzdělávání obce s rozšířenou působností Ostrava (MAP ORP Ostrava) je zaměřen na rozvoj kvalitního a inkluzivního vzdělávání dětí a žáků do 15 let statutárního města Ostravy a příměstských obcí. Projekt řeší místně specifické problémy a potřeby v oblastech včasné péče, předškolního a základního vzdělávání, zájmového a neformálního vzdělávání. Je zpracováván ve spolupráci se všemi relevantními partnery v území s ohledem na místní potřebnost a naléhavost a lokální přínosy.","Statutární město Ostrava","00845451","Obec",70200,2016-08-24,"01.01.2016","31.12.2017","31.12.2017",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ080","Moravskoslezský kraj","VII.0.115","Omezování a prevence předčasného ukončování školní docházky a podpora rovného přístupu ke kvalitním programům předškolního, základního a středoškolského vzdělávání, včetně možností formálního, neformálního a informálního učení, které umožňuje zpětné začlenění do procesu vzdělávání a odborné přípravy","ESF",0.85,3701740,3146479,370174,185087,3629939.89,3085448.89,"Ne"
"229","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/16_039/0004350","Zateplení 63. MŠ K. Steinera 25, Plzeň","Předmětem projektu je realizace energeticky úsporných opatření směřujících ke zlepšení tepelně-technických vlastností obálky budov spolu s dodržením hygienických a provozních požadavků na větrání, tj. zabudování zařízení vzduchotechniky pro rekuperační větrání. Projekt bude realizován na adrese K. Steinera 63, Plzeň, na pozemcích p. č. 2176/134, 2176/135, 2176/136, 2176/137 a 2176/191.","Statutární město Plzeň","00075370","Obec",30100,2017-05-16,"01.06.2018","29.02.2020","28.02.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ032","Plzeňský kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0.4,9501347.35,3800538.94,5700808.41,0,9501347.35,3800538.94,"Ne"
"230","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_050/0002588","Rekonstrukce a vybavení dílen, centra odborné přípravy SŠ, ZŠ a MŠ Kraslice","Cílem projektu je zkvalitnění vzdělávání žáků střední školy v Kraslicích a podpora odborného výcviku studijních oborů: Strojní mechanik, Nástrojař a Mechanik seřizovač.  Ke zkvalitnění vzdělávání dojde rekonstrukcí a stavebními úpravami odborných učeben a nezbytného zázemí těchto učeben (např. WC), zajištěním bezbariérového přístupu do těchto odborných učeben, budováním a modernizací související inženýrské sítě (kanalizace), pořízením vybavení učeben.","Město Kraslice","00259438","Obec",35801,2017-09-29,"08.08.2016","31.08.2018","31.08.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ041","Karlovarský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999827349,5792022.46,4923219.09,868803.37,0,5780475.58,4913404.24,"Ne"
"231","OP ZP","05.1 Zlepšování kvality vody a snižování rizika povodní","CZ.05.1.24/0.0/0.0/19_119/0011464","RPS  Veselí nad Moravou, sídliště Hutník, V. etapa, I.část, II.část","Cílem projektu SO 140 parkoviště je maximální využití stávajících parkovacích ploch na sídlišti Hutník , zachování zeleně, zadržení vody v krajině a nenavyšování odtoku srážkových vod do kanalizačního systému. Na základě inženýrsko-geologického a hydrogeologického průzkumu bylo přistoupeno k vybudování parkovacích ploch ze vsakovací distanční dlažby. Nově zůstanou srážkové vody zadrženy v místě jejich dopadu, budou se vsakovat do podloží a budou tak sloužit i jako zdroj vláhy pro přilehlou zeleň","Město Veselí nad Moravou","00285455","Obec",69801,2020-08-10,"23.06.2020","31.10.2021","27.10.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ064","Jihomoravský kraj","IV.4.087","Opatření pro přizpůsobení se změně klimatu, předcházení rizikům a řízení rizik souvisejících s oblastí klimatu, jako jsou například eroze, požáry, záplavy, bouře a sucha, včetně zvyšování povědomí, civilní ochrany a systémů a infrastruktur řízení katastrof","FS",0.599999997778338,2700680.66,1620408.39,1080272.27,0,2700680.66,1620408.39,"Ne"
"232","OP VVV","02.3 Rovný přístup ke kvalitnímu předškolnímu, primárnímu a sekundárnímu vzdělávání","CZ.02.3.68/0.0/0.0/15_005/0000371","Zpracování Místního akčního plánu pro ORP Odry","Předmětem projektu je vytvoření Místního akčního plánu rozvoje vzdělávání s působností na území ORP Odry respektující lokální partnerství, a to na základní úrovni. Hlavní náplní projektu bude posílit a rozvíjet stávající partnerství, analyzovat a vyhodnotit situaci v oblasti vzdělávání, prioritizovat potřeby a dohodnout se na investičních prioritách, podpořit a rozvinout metodu akčního plánování na místní úrovni, budování znalostních kapacit a vyhodnocení partnerství, výsledků a dopadů MAP.","Město Odry","00298221","Obec",74235,2016-09-20,"01.04.2016","30.06.2017","30.06.2017",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ080","Moravskoslezský kraj","VII.0.115","Omezování a prevence předčasného ukončování školní docházky a podpora rovného přístupu ke kvalitním programům předškolního, základního a středoškolského vzdělávání, včetně možností formálního, neformálního a informálního učení, které umožňuje zpětné začlenění do procesu vzdělávání a odborné přípravy","ESF",0.85,2369012.8,2013660.88,236901.28,118450.64,1749821.82,1487348.53,"Ne"
