ico,municipality_id,municipality,date,year,EU_fund_total_CZK,Tax_revenue_CZK,Capital_revenue_CZK,Non_tax_revenue_CZK,lt_tangible_assets_CZK,Saldo_CZK,population_total,unemployment
253014,3112,Tábor,2015-12-31,2015,713.2338834999751,6156.601360244739,453.33005024125754,2456.0259738596233,56604.27354847535,748.2761860170136,80412,5.93
253014,3112,Tábor,2016-12-31,2016,576.5861143547162,6540.528338956044,409.1854498375431,2417.6846326980294,56720.330603891496,1949.3487549950826,80329,5.44
253014,3112,Tábor,2017-12-31,2017,521.1869706621544,7056.965414188669,387.4650073406823,2433.8721881454203,56667.99934419091,781.0189253987621,80374,4.04
253014,3112,Tábor,2018-12-31,2018,861.3863916706997,7481.8480342007615,291.1482521127285,2429.4543048782,57275.42773972178,-924.3905792785041,80583,3.02
253014,3112,Tábor,2019-12-31,2019,0,7911.259298680686,156.83355061501834,2495.6647373772444,56794.89380740998,529.4324485418126,80648,2.91
253014,3112,Tábor,2020-12-31,2020,71.92516492936923,7343.893194970741,93.11626433425685,2571.898892395234,57154.448265353036,-795.6048002832686,80489,3.54
253316,3202,Domažlice,2007-12-31,2007,0,3537.9586739327883,215.96503178928248,1466.7822181854879,58584.53678474115,1189.4010495509133,39636,3.24
253316,3202,Domažlice,2008-12-31,2008,2133.32150919816,3739.495850829834,224.8865226954609,1221.1565186962607,59875.65336932614,372.83118376324734,40008,3.96
253316,3202,Domažlice,2009-12-31,2009,337.33416882276845,3076.072992337546,345.9866653398348,1105.875957806747,62886.88725246293,-1523.1751915613495,40196,7.07
253316,3202,Domažlice,2010-12-31,2010,598.5240549007907,3087.2763439256055,749.5161370530608,2392.060768809986,69849.7687602566,-1734.5377691580884,40218,7.13
253316,3202,Domažlice,2011-12-31,2011,1317.902654431513,3231.870155177559,5614.502223714314,2542.8335228290066,69097.401169054,-155.07636775091663,40212,5.86
253316,3202,Domažlice,2012-12-31,2012,8.237939249553305,3358.0731348024615,2523.945549186023,1872.7586013500097,73243.21678925947,-767.7392195255087,40296,5.72
253316,3202,Domažlice,2013-12-31,2013,258.40903645251746,4056.987102409489,211.46040571726348,1146.9746978833223,74784.33019280876,-706.1441742971289,40299,5.58
253316,3202,Domažlice,2014-12-31,2014,897.0290689552683,4261.085398771486,607.8978476247089,1311.493989448655,75430.04469089018,1334.9050809927182,40374,5.43
253316,3202,Domažlice,2015-12-31,2015,70.7241175018514,4527.962170328315,501.2597136509504,1993.0058264626018,73734.12820143174,1531.0021128116489,40510,5.2
253316,3202,Domažlice,2016-12-31,2016,0,4385.755291793238,178.60812279271937,1847.8965061371664,73787.41328616235,1595.1065747943987,40491,3.71
253316,3202,Domažlice,2017-12-31,2017,2339.2790980054174,4832.182386111795,244.42597636050235,1590.1296185668555,74036.64621915785,313.09505442009606,40610,2.14
253316,3202,Domažlice,2018-12-31,2018,919.9895093699276,5152.951133244798,677.5954131621662,1445.2597452166642,78077.59189734887,469.2929189415203,40662,2.06
253316,3202,Domažlice,2019-12-31,2019,593.7555539713366,5328.706176651343,133.19897244278374,2053.745127707171,85799.96667322206,-5047.5738137614,40679,2.01
253316,3202,Domažlice,2020-12-31,2020,180.24427441676553,5044.839220047449,223.0793792012653,1584.9761570778965,86953.4771900949,-233.88978968960186,40464,3.42
253383,3204,Horšovský Týn,2007-12-31,2007,0,4159.026238650175,378.5507971687996,613.4553513977264,60739.02695359977,-350.8436405233431,13987,3.85
253383,3204,Horšovský Týn,2008-12-31,2008,210.2579312060266,4402.113566910667,545.2363016132471,534.7445099850756,58001.712031838535,-171.67791912444034,14071,4.78
253383,3204,Horšovský Týn,2009-12-31,2009,2.300471134238099,4270.580831165178,222.71992124323185,598.3960340341748,58994.632585612824,-126.11138457211166,14221,8.01
253383,3204,Horšovský Týn,2010-12-31,2010,0,3939.411474832805,388.6300598380852,681.0172474480817,58734.309046110524,1086.544878563886,14205,8.14
253383,3204,Horšovský Týn,2011-12-31,2011,271.58690317604993,4111.333610039964,146.1198906260955,690.7781280235574,52308.39500035056,-46.78117226389855,14263,6.63
253383,3204,Horšovský Týn,2012-12-31,2012,193.50085458111516,4059.7123493975905,39.36536845054637,791.7827689829085,53496.18073900252,132.83486620902283,14276,6.41
